id,created_at,text
1426532253308489732,2021-08-14 13:12:47,"Aujourd’hui, nous célébrons le Jour de l’indépendance du Pakistan avec le monde entier et les Canadiens d’origine pakistanaise qui enrichissent notre tissu national depuis des générations. Puissent les liens qui unissent nos pays se resserrer encore plus. https://t.co/qOf2Sz07az"
1426324726465576962,2021-08-13 23:28:09,"The situation in Afghanistan is continuing to deteriorate, and Afghans’ lives are under threat. To help them, we’re expanding our resettlement program - we’re going to resettle 20,000 vulnerable Afghans and expedite processing timelines. Get the details: https://t.co/4amf5mVIAi"
1426324704529424387,2021-08-13 23:28:04,"La situation se détériore en Afghanistan, et la vie des Afghans est menacée. Nous élargissons donc notre programme de réinstallation : nous procéderons à la réinstallation de 20 000 Afghans vulnérables et accélérerons le traitement des demandes : https://t.co/eD07mnHKwp"
1426320230733733893,2021-08-13 23:10:17,"RT @mary_ng: Today, we announced the first 30 successful applications of the BEP National Ecosystem Fund totaling more than $58M! Our inves…"
1426320211414822925,2021-08-13 23:10:12,"RT @mary_ng: Les 30 premières entreprises récipiendaires du Fonds national pour l'écosystème national du PECN, totalisant plus de 58 M$ ont…"
1426291844359626758,2021-08-13 21:17:29,We’ll keep working to make sure Canadians can get vaccinated - and we’ll continue to do everything necessary to keep people safe and finish the fight against COVID-19. Learn more about our vaccination plan for the federal workforce here: https://t.co/Lw4pTzfZxa
1426291842551853059,2021-08-13 21:17:29,"Also as soon as possible this fall, and by the end of October at the latest, we’re going to require commercial air travellers, passengers on interprovincial trains, and passengers on large marine vessels with overnight accommodations - such as cruise ships - to be vaccinated."
1426291841029316612,2021-08-13 21:17:28,"In addition to federal public servants, we’re also going to require employees in federally-regulated transportation sectors - including air, rail, and marine sectors - to be vaccinated as soon as possible this fall, and by the end of October at the latest."
1426291839137636359,2021-08-13 21:17:28,"Vaccines work. Since the start of Canada’s vaccination campaign in mid-December, less than 1% of COVID-19 cases have been among people who are fully-vaccinated. And that’s why we’re going to require vaccination across the federal public service as early as the end of September."
1426291807135191045,2021-08-13 21:17:20,Nous poursuivrons nos efforts pour que les Canadiens se fassent vacciner et nous continuerons de tout faire pour protéger la population et en finir avec la COVID-19. Pour en savoir plus sur notre plan de vaccination des employés fédéraux : https://t.co/SZMkgXhssk
1426291805788807178,2021-08-13 21:17:20,"Et dès que possible cet automne, au plus tard à la fin octobre, nous exigerons que les passagers du transport aérien, de trains interprovinciaux et de grands navires avec hébergement de nuit, comme les navires de croisière, soient vaccinés."
1426291802085154816,2021-08-13 21:17:19,"En plus des fonctionnaires fédéraux, nous exigerons que les employés des secteurs des transports sous réglementation fédérale (aérien, ferroviaire, maritime) se fassent vacciner dès que possible cet automne, et au plus tard à la fin octobre."
1426291799761506304,2021-08-13 21:17:18,"Les vaccins sont efficaces. Depuis le début de la campagne de vaccination au Canada à la mi-décembre, moins de 1 % des cas de COVID-19 touchent ceux pleinement vaccinés. C’est pourquoi nous rendrons le vaccin obligatoire dans la fonction publique fédérale dès la fin septembre."
1426278285542109199,2021-08-13 20:23:36,"Today, @NoubarAfeyan and I spoke about Moderna’s plans to build an mRNA vaccine production facility in Canada. We also spoke about the work we’re doing to make sure people can get vaccinated - so we can finish the fight against COVID-19. That continues to be our top priority."
1426278266839646210,2021-08-13 20:23:32,"Aujourd’hui, @NoubarAfeyan et moi avons parlé de la volonté de Moderna d’établir une usine de production de vaccins à ARNm au Canada. On a aussi parlé de ce qu’on fait pour que les gens se fassent vacciner et qu’on puisse en finir avec la COVID-19. Cela reste notre priorité."
1426259723226161165,2021-08-13 19:09:51,RT @cafreeland: Today’s agreement with Saskatchewan means that half of all Canadian children under 6 will soon have access to affordable ch…
1426259706797072384,2021-08-13 19:09:47,RT @cafreeland: L’accord avec la Saskatchewan signifie que la moitié de tous les enfants canadiens de moins de 6 ans auront accès à des ser…
